REF_AREA,TIME_PERIOD,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,war_nextYear
BFA,1973,7.717293449317977,-1.2163964567018182,-6.158242658847473,4.9659620158873174,-0.10699119610279137,-0.16244982764781318,0.2228012370957648,-0.814293032814923,-1.7516827861346245,0.24033673426554805,-0.3617121434643293,0.13984800611739953,-1.3967471486487453,-0.3504197432239379,-0.4937134722691685,0.4158596792410157,0
BFA,1974,7.858988548678184,-1.2436015001331189,-6.275949893956983,4.436694096641267,-0.1061739741468706,-0.09681276535519025,-0.05213857347985853,-0.6331880277942764,-1.6635015453700364,0.1865756377327805,-0.2683299345973646,0.06587106932531611,-1.4312969699232978,-0.336270974535039,-0.39702514871417927,0.539900336074649,0
BFA,1975,8.00808029763193,-1.2634796067025273,-6.336245706283892,3.8514463131747143,-0.051018514829185936,-0.025740832722810074,-0.3119161668545696,-0.5447851057764879,-1.5597937014622185,0.1958671569247846,-0.13920603550738722,-0.036210942962361256,-1.3979465526795276,-0.32037306894627354,-0.24815608491251323,0.6832023845332051,0
BFA,1976,8.187769525259252,-1.2706968268768049,-6.3568992515019,3.248686121690244,0.011009562520199691,0.05261119577205266,-0.506509753728812,-0.5204344166886047,-1.458136514011771,0.37626593742024106,0.0372415919181445,-0.2228557137732794,-1.2317162929271916,-0.3275715928603276,-0.004554010235578008,0.938023696788009,0
BFA,1977,8.379305166473701,-1.2672848531388323,-6.323477540517346,2.6479910095136376,0.04346675802380161,0.1287771999950222,-0.6271801412762271,-0.5127526751801166,-1.3635158784648056,0.7182193318248524,0.23653105063863958,-0.4760813631356472,-0.9621911362389639,-0.3526461620112929,0.3280046813241789,1.2606400960884676,0
BFA,1978,8.575851893139086,-1.2549160007112274,-6.241523300597882,2.079398232060082,0.05889984303802442,0.19138335336014567,-0.6698042224143906,-0.49723024876084465,-1.2972807582074948,1.1164088222771726,0.3865744159994988,-0.752464475982543,-0.6444003207120317,-0.39200020613969877,0.6941913858517023,1.5017851746581996,0
BFA,1979,8.786226825582604,-1.2341546426940264,-6.122596262449911,1.5538312663309246,0.07339292401290803,0.23637094036911846,-0.6120199634225958,-0.4726681269283788,-1.267019116076879,1.5320068729066976,0.4578261044353576,-1.0401023112971306,-0.3102377617035651,-0.4500047167071794,1.0269779243474806,1.6103973262000635,0
BFA,1980,8.975770161512607,-1.2098975118196744,-5.952861642486142,1.069847822883652,0.13612078105032527,0.2598899614616788,-0.49636717582997425,-0.44269862921864067,-1.2649236551688112,1.8225081581944085,0.4782333859724423,-1.207006257567718,-0.05273075093317137,-0.47982286495882404,1.1858548778087885,1.5982604687669955,0
BFA,1981,9.157363414444024,-1.1827428618249998,-5.7715750456477775,0.6506912781064029,0.24296978328994395,0.2675281472853938,-0.3461992508674371,-0.4000598874774549,-1.2899006584830417,1.9827755867362347,0.46595823028105104,-1.260960388967366,0.1342964867054698,-0.4849446301831074,1.2094139777616715,1.5020994508962846,0
BFA,1982,9.318209925440682,-1.1536187208868323,-5.561945071264748,0.2531550247341476,0.3392786521554915,0.26802099462506873,-0.1980697563741279,-0.33023460753844597,-1.3274344381417074,2.1219293919447915,0.4510850363441742,-1.2814501100955886,0.28398083031760535,-0.48240875260135924,1.187808136420507,1.3594230321777443,0
BFA,1983,9.463787632437624,-1.1219429979227977,-5.337556283356406,-0.10031296109661195,0.4111587720075535,0.26551597026638474,-0.05860888145173517,-0.23823774480059082,-1.362395910617066,2.238684400204978,0.45125816770258986,-1.253707957057603,0.4008306740218184,-0.46055261698239247,1.1442303364184547,1.1842620880622141,0
BFA,1984,9.619908209145748,-1.0855623675433967,-5.122127417365306,-0.38982070099989485,0.4512731236805635,0.25469361263377616,0.10356291465630442,-0.11597001478762585,-1.4019609061862806,2.3212745737670293,0.4286597449049861,-1.226588296972747,0.4976157084475211,-0.4518291109509785,1.0829618959776433,1.0225336528066191,1
BFA,1985,9.777118373634266,-1.0434407581603649,-4.902363159494253,-0.6422028164794268,0.45604743596879976,0.23947833082885667,0.26144887495191693,0.046026332089783406,-1.457372319377071,2.3713375633556124,0.3874664951156199,-1.188135681020911,0.568525273474443,-0.45165246990282903,1.0025454238828138,0.8585846913765685,0
BFA,1986,9.94086281807191,-1.0016429935894364,-4.716707765231397,-0.8380568256861847,0.4730832671040144,0.21953031137421972,0.3843983090503306,0.22588674677161685,-1.5122595156165695,2.2499316203492343,0.2948079428287707,-1.0835667644864584,0.5549598740257607,-0.4335694347951741,0.8511264320046454,0.5937136537790689,1
BFA,1987,10.104158184283131,-0.9599848742166509,-4.567541560315474,-1.0094653739482633,0.5172074118278326,0.2036527050737346,0.4338142661553105,0.4000663260175429,-1.5724379158633097,1.9652021180539763,0.180754935553145,-0.9004747935657901,0.4563876927307042,-0.39154920873509347,0.5940239620236545,0.24832376670601392,1
